Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
127,2026-01-31,,WB-2026-01,,127,I25291,Entertainment-(IN TOWN),164416.71,164416.71,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
128,2026-01-31,,WB-2026-01,,128,I25294,Christmas Party,14000.0,14000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
129,2026-01-31,,WB-2026-01,,129,I25326,Int.Paid-Other,110409.93,110409.93,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
130,2026-01-31,,WB-2026-01,,130,I25354,Equip-Maintenance,60325.0,60325.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
131,2026-01-31,,WB-2026-01,,131,I25358,Subscriptions General,732040.0,732040.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
132,2026-01-31,,WB-2026-01,,132,I25367,Summary:Gen Exp Other,219606.68,219606.68,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
133,2026-01-31,,WB-2026-01,,133,I25401,Insurance-P.I.,1316413.25,1316413.25,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
134,2026-01-31,,WB-2026-01,,134,I25422,PC Supplies,25600.0,25600.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
135,2026-01-31,,WB-2026-01,,135,I25423,Comp-Depreciation,672099.87,672099.87,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
136,2026-01-31,,WB-2026-01,,136,I25428,Software Maintenance,750582.62,750582.62,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
137,2026-01-31,,WB-2026-01,,137,I25429,Software Licence Fees,2091627.38,2091627.38,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
138,2026-01-31,,WB-2026-01,,138,I25455,MV - Leasing Costs (non personnel),964623.4,964623.4,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
