period,period_end,entity,statement,section_group,line_label,row_type,statement_line_code,amount_client_basis,amount_presentation,source_tab,source_row,source_file
2026-04,2026-04-30,MENA,SCI,Personnel Costs,Emol.Pack-Salaries,detail,personnel_costs,21401825.32,21401825.32,SCI Detailed,19,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,Personnel Costs,Emol.Pack-Salaries,detail,personnel_costs,4090456.12,4090456.12,SCI Detailed,19,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,Personnel Costs,Emol.Pack-Salaries,detail,personnel_costs,10423098.01,10423098.01,SCI Detailed,19,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,Personnel Costs,Emol.Pack-Salaries,detail,personnel_costs,0.0,0.0,SCI Detailed,19,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,Personnel Costs,Emol.Pack-Salaries,detail,personnel_costs,1606234.07,1606234.07,SCI Detailed,19,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,Personnel Costs,Emol.Pack-Salaries,detail,personnel_costs,4296021.94,4296021.94,SCI Detailed,19,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,Personnel Costs,Emol.Pack-Housing Subsid,detail,personnel_costs,3627473.0,3627473.0,SCI Detailed,20,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,Personnel Costs,Emol.Pack-Housing Subsid,detail,personnel_costs,0.0,0.0,SCI Detailed,20,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,Personnel Costs,Emol.Pack-Housing Subsid,detail,personnel_costs,0.0,0.0,SCI Detailed,20,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,Personnel Costs,Emol.Pack-Housing Subsid,detail,personnel_costs,0.0,0.0,SCI Detailed,20,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MENA,SCI,Personnel Costs,Emol.Pack-Housing Subsid,detail,personnel_costs,0.0,0.0,SCI Detailed,20,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,Personnel Costs,Emol.Pack-Housing Subsid,detail,personnel_costs,0.0,0.0,SCI Detailed,20,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,Personnel Costs,Emol.Pack-Housing Subsid,detail,personnel_costs,0.0,0.0,SCI Detailed,20,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,Personnel Costs,Emol.Pack-Housing Subsid,detail,personnel_costs,0.0,0.0,SCI Detailed,20,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,Personnel Costs,Emol.Pack-Housing Subsid,detail,personnel_costs,0.0,0.0,SCI Detailed,20,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,Personnel Costs,Emol.Pack-Housing Subsid,detail,personnel_costs,0.0,0.0,SCI Detailed,20,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,Personnel Costs,Emol.Pack-Other,detail,personnel_costs,648600.0,648600.0,SCI Detailed,21,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,Personnel Costs,Emol.Pack-Other,detail,personnel_costs,0.0,0.0,SCI Detailed,21,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,Personnel Costs,Emol.Pack-Other,detail,personnel_costs,2288814.0,2288814.0,SCI Detailed,21,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,Personnel Costs,Emol.Pack-Other,detail,personnel_costs,424813.27,424813.27,SCI Detailed,21,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MENA,SCI,Personnel Costs,Emol.Pack-Other,detail,personnel_costs,0.0,0.0,SCI Detailed,21,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,Personnel Costs,Emol.Pack-Other,detail,personnel_costs,3392296.9,3392296.9,SCI Detailed,21,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,Personnel Costs,Emol.Pack-Other,detail,personnel_costs,0.0,0.0,SCI Detailed,21,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,Personnel Costs,Emol.Pack-Other,detail,personnel_costs,0.0,0.0,SCI Detailed,21,April 2026 Consolidated Accounts.xlsx
