period,entity,statement,statement_line_code,line_label,category_l1,line_order,client_basis_kes,client_presentation_kes
2026-02,MENA,SCI,other_income,Other Income,INCOME,70,0.0,-0.0
2026-02,MENA,SCI,pension_admin_fee,Pension Admin Fee,INCOME,20,-14538518.03,14538518.03
2026-02,MENA,SCI,personnel_costs,Personnel Costs,EXPENSES,80,10671087.63,10671087.63
2026-02,MENA,SCI,premises,Premises,EXPENSES,140,1959664.65,1959664.65
2026-02,MENA,SCI,printing_stationery,Printing & Stationery,EXPENSES,130,0.0,0.0
2026-02,MENA,SCI,professional_fees,Professional Fees,EXPENSES,170,810409.02,810409.02
2026-02,MENA,SCI,saas_income,SAAS (Software as a Service),INCOME,50,0.0,-0.0
2026-02,MENA,SCI,taxation,Taxation,EXPENSES,230,0.0,0.0
2026-02,MENA,SCI,travelling,Travelling,EXPENSES,90,91944.31,91944.31
2026-02,MENA,SFP,borrowings,Borrowings,EQUITY AND LIABILITIES,510,0.0,-0.0
2026-02,MENA,SFP,computer_software,Intangible - computer software,ASSETS,250,0.0,0.0
2026-02,MENA,SFP,deferred_tax,Deferred tax,ASSETS,310,0.0,0.0
2026-02,MENA,SFP,deposit_for_investment_in_subsidiary,Deposit for investment in subsidiary,ASSETS,290,0.0,0.0
2026-02,MENA,SFP,deposits,Cash - Deposits,ASSETS,380,0.0,0.0
2026-02,MENA,SFP,due_from_to_related_parties,Due from/to related parties,ASSETS,350,0.0,0.0
2026-02,MENA,SFP,goodwill,Intangible - goodwill,ASSETS,260,0.0,0.0
2026-02,MENA,SFP,investment_in_associate,Investment in associate,ASSETS,270,0.0,0.0
2026-02,MENA,SFP,investment_unquoted_equity,Investment in unquoted equity securities,ASSETS,280,0.0,0.0
2026-02,MENA,SFP,net_profit,Net Profit (derived),EQUITY AND LIABILITIES,460,34503.65,-34503.65
2026-02,MENA,SFP,non_controlling_interests,Non-controlling interests,EQUITY AND LIABILITIES,470,-66562352.15,66562352.15
2026-02,MENA,SFP,office_cash,Cash - Office Cash,ASSETS,360,8314946.05,8314946.05
2026-02,MENA,SFP,other_receivables,Other Receivables,ASSETS,340,7895466.8,7895466.8
2026-02,MENA,SFP,placements,Cash - Placements,ASSETS,390,0.0,0.0
2026-02,MENA,SFP,ppe,"Property, Plant and Equipment",ASSETS,240,1310508.14,1310508.14
2026-02,MENA,SFP,premium_payable,Premium payable,EQUITY AND LIABILITIES,500,0.0,-0.0
2026-02,MENA,SFP,premium_receivables,Premium Receivables,ASSETS,330,0.0,0.0
2026-02,MENA,SFP,proposed_dividend,Proposed dividend,EQUITY AND LIABILITIES,440,0.0,-0.0
2026-02,MENA,SFP,retained_earnings,Retained earnings,EQUITY AND LIABILITIES,450,38435171.97,-38435171.97
2026-02,MENA,SFP,share_capital,Share capital,EQUITY AND LIABILITIES,420,-69493036.22,69493036.22
2026-02,MENA,SFP,tax_recoverable,Tax recoverable,ASSETS,400,0.0,0.0
2026-02,MENA,SFP,trade_and_other_payables,Trade and other payables,EQUITY AND LIABILITIES,480,-11879101.3,11879101.3
2026-02,MENA,SFP,trade_receivables,Trade Receivables (Debtors),ASSETS,320,91943873.41,91943873.41
2026-02,MENA,SFP,translation_reserve,Translation reserve,EQUITY AND LIABILITIES,430,19.65,-19.65
2026-02,NIGERIA,SCI,actuarial_fees,Actuarial Fees,INCOME,10,0.0,-0.0
2026-02,NIGERIA,SCI,advertising_pr,Advertising & PR,EXPENSES,150,0.0,0.0
2026-02,NIGERIA,SCI,communications,Communications,EXPENSES,120,26146.47,26146.47
2026-02,NIGERIA,SCI,depreciation,Depreciation,EXPENSES,180,190680.21,190680.21
2026-02,NIGERIA,SCI,entertainment,Entertainment,EXPENSES,100,14379.61,14379.61
2026-02,NIGERIA,SCI,finance_costs,Finance cost,EXPENSES,220,0.0,0.0
2026-02,NIGERIA,SCI,general_expenses,General Expenses,EXPENSES,200,81720.79,81720.79
2026-02,NIGERIA,SCI,insurance,Insurance,EXPENSES,160,95613.07,95613.07
2026-02,NIGERIA,SCI,insurance_commissions,Insurance Commissions,INCOME,40,0.0,-0.0
2026-02,NIGERIA,SCI,it_costs,IT Costs,EXPENSES,110,80294.85,80294.85
2026-02,NIGERIA,SCI,management_expense,Management Expense,EXPENSES,210,0.0,0.0
2026-02,NIGERIA,SCI,motor_vehicle_expenses,Motor Vehicle Expenses,EXPENSES,190,65811.11,65811.11
2026-02,NIGERIA,SCI,other_income,Other Income,INCOME,70,-324085.37,324085.37
2026-02,NIGERIA,SCI,pension_admin_fee,Pension Admin Fee,INCOME,20,-12728655.9,12728655.9
2026-02,NIGERIA,SCI,personnel_costs,Personnel Costs,EXPENSES,80,5549041.96,5549041.96
2026-02,NIGERIA,SCI,premises,Premises,EXPENSES,140,285036.5,285036.5
2026-02,NIGERIA,SCI,printing_stationery,Printing & Stationery,EXPENSES,130,44781.28,44781.28
2026-02,NIGERIA,SCI,professional_fees,Professional Fees,EXPENSES,170,560528.13,560528.13
2026-02,NIGERIA,SCI,saas_income,SAAS (Software as a Service),INCOME,50,0.0,-0.0
2026-02,NIGERIA,SCI,taxation,Taxation,EXPENSES,230,0.0,0.0
2026-02,NIGERIA,SCI,travelling,Travelling,EXPENSES,90,439156.14,439156.14
2026-02,NIGERIA,SFP,borrowings,Borrowings,EQUITY AND LIABILITIES,510,0.0,-0.0
2026-02,NIGERIA,SFP,computer_software,Intangible - computer software,ASSETS,250,0.0,0.0
2026-02,NIGERIA,SFP,deferred_tax,Deferred tax,ASSETS,310,1640.16,1640.16
2026-02,NIGERIA,SFP,deposit_for_investment_in_subsidiary,Deposit for investment in subsidiary,ASSETS,290,0.0,0.0
2026-02,NIGERIA,SFP,deposits,Cash - Deposits,ASSETS,380,0.0,0.0
2026-02,NIGERIA,SFP,due_from_to_related_parties,Due from/to related parties,ASSETS,350,1290489.66,1290489.66
2026-02,NIGERIA,SFP,goodwill,Intangible - goodwill,ASSETS,260,0.0,0.0
